,Presion,Tonelaje,Velocidad,%Solidos,Potencia,F80,Brazo,picos_intens
426,6443.14,0.94,3.0,0.49,2726.86,78.78,1.5,0.0
427,6421.0,0.94,3.02,0.19,2847.37,78.8,1.48,0.0
429,6374.5,0.95,4.52,0.19,4681.15,78.75,1.62,0.0
431,6313.0,5.54,4.52,0.26,4807.27,78.81,1.67,0.0
432,6251.0,12.05,4.52,0.24,5104.28,78.02,1.82,0.0
433,6201.5,603.03,6.02,0.53,7036.36,74.76,1.89,0.0
434,6168.5,1875.3,7.03,72.72,8106.48,73.57,1.9,0.0
438,5918.65,2290.4,8.03,78.46,10367.66,36.24,2.18,0.0
439,6119.5,2132.33,7.03,74.43,8167.25,73.2,1.89,0.0
440,5918.34,2263.48,8.03,78.19,10348.58,36.37,2.17,0.0
441,5918.96,2294.7,8.03,77.05,10310.26,35.76,2.18,0.0
442,5918.02,2292.93,8.03,77.5,10332.61,36.23,2.17,0.0
445,5695.0,0.83,0.1,0.06,-0.05,58.39,-0.0,1.0
446,5920.05,2276.55,8.03,76.64,10278.66,36.63,2.17,0.0
450,6120.35,2687.74,9.33,69.86,14883.98,74.67,2.6,0.0
451,5924.2,2276.2,8.03,78.48,10418.74,37.44,2.18,0.0
454,5939.75,2544.68,8.03,77.27,10444.02,36.86,2.19,0.0
455,5925.77,2294.5,8.03,76.6,10294.75,36.75,2.17,0.0
456,5706.26,0.83,3.86,0.06,2546.36,58.35,1.59,1.0
457,5919.31,2308.24,8.03,76.28,10341.19,35.97,2.17,0.0
458,5921.77,2300.71,8.03,77.08,10360.2,37.13,2.16,0.0
459,5959.91,672.0,7.03,0.27,7145.13,61.95,1.66,1.0
460,5923.45,2311.29,8.03,78.26,10318.74,37.43,2.17,0.0
461,5917.99,2270.64,8.03,78.28,10364.77,35.94,2.17,0.0
462,5977.19,7.87,7.03,0.57,6579.34,64.18,1.55,1.0
463,5926.55,2277.44,8.03,76.79,10335.76,36.62,2.17,0.0
464,5977.33,0.83,5.02,0.1,4245.67,64.61,1.4,1.0
465,5962.23,0.83,3.13,0.09,2661.43,64.42,1.27,1.0
466,5927.32,2305.33,8.03,80.09,10376.45,36.81,2.19,0.0
467,5722.2,0.83,6.01,0.07,5494.98,58.47,1.59,1.0
469,6118.28,2728.67,9.33,69.98,14856.85,74.87,2.61,0.0
470,5920.62,2220.97,8.03,76.35,10387.14,35.8,2.18,0.0
471,5919.88,2359.54,8.03,75.22,10314.64,35.64,2.17,0.0
473,5922.64,2275.14,8.03,77.48,10305.29,37.07,2.18,0.0
475,5924.22,2275.63,8.03,78.31,10338.63,37.12,2.18,0.0
476,5920.91,2250.8,8.03,76.76,10310.32,36.66,2.18,0.0
478,5926.06,2267.61,8.03,77.87,10293.72,37.37,2.18,0.0
479,5815.0,2532.19,8.93,69.02,12094.63,65.06,2.33,0.0
480,5923.54,2283.67,8.03,78.43,10417.61,37.66,2.19,0.0
481,5815.0,2560.3,8.93,68.76,12171.65,65.89,2.35,0.0
483,5885.9,2624.57,8.93,70.29,12527.44,75.77,2.39,0.0
484,5920.61,2250.53,8.03,76.29,10409.44,35.53,2.19,0.0
486,5921.77,2462.2,8.03,79.84,10415.85,35.55,2.19,0.0
487,5931.3,2494.32,8.03,79.29,10445.66,36.91,2.19,0.0
490,5923.05,2296.59,8.03,78.61,10438.3,37.91,2.19,0.0
492,5920.52,2252.08,8.03,76.35,10347.76,35.45,2.18,0.0
494,5929.39,2492.86,8.03,77.63,10333.04,36.55,2.18,0.0
495,5936.57,2509.44,8.03,74.14,10395.11,36.78,2.19,0.0
496,5812.29,2568.85,8.93,68.81,12200.3,66.09,2.35,0.0
499,5815.0,2557.86,8.93,69.04,12131.36,65.74,2.35,0.0
500,5927.76,2295.34,8.03,75.99,10338.83,37.14,2.17,0.0
501,5926.58,2314.42,8.03,78.55,10396.42,37.31,2.18,0.0
503,5922.2,2490.69,8.03,77.29,10409.6,36.2,2.18,0.0
505,5917.58,2257.1,8.03,78.67,10426.19,35.96,2.19,0.0
506,5933.46,2499.97,8.03,79.06,10428.29,36.59,2.19,0.0
507,5927.11,2313.62,8.03,78.49,10432.26,37.11,2.19,0.0
508,5815.0,2562.72,8.93,68.8,12121.9,65.67,2.33,0.0
509,5887.06,2580.41,8.93,70.35,12515.9,76.21,2.38,0.0
510,5954.87,2302.31,8.32,78.8,11033.9,41.81,2.23,0.0
512,5920.92,2248.69,8.03,76.38,10386.3,35.68,2.18,0.0
513,5919.18,2258.34,8.03,78.57,10462.92,35.87,2.19,0.0
514,5942.82,2483.49,8.03,78.68,10488.35,37.0,2.2,0.0
515,5920.66,2460.05,8.03,75.81,10311.96,35.87,2.17,0.0
516,5751.41,0.83,6.01,0.07,5489.27,58.8,1.6,1.0
517,5815.0,2553.92,8.93,69.39,12175.56,66.62,2.35,0.0
518,5936.37,1921.3,7.03,67.89,7366.0,60.19,1.76,1.0
520,5815.0,2560.32,8.93,69.09,12128.54,65.95,2.33,0.0
522,5925.18,2498.87,8.03,79.0,10428.3,36.07,2.19,0.0
537,5927.1,2289.93,8.03,75.99,10373.08,37.11,2.18,0.0
545,5918.5,2258.15,8.03,78.55,10425.83,35.77,2.18,0.0
551,6337.71,3697.66,8.62,75.21,12511.21,43.44,2.27,0.0
564,6067.0,2334.52,7.52,75.4,8914.42,72.95,1.96,0.0
565,5918.43,2257.27,8.03,77.33,10377.83,35.59,2.19,0.0
567,5919.28,2315.26,8.03,76.21,10289.03,35.88,2.17,0.0
568,5919.43,2228.23,8.03,78.62,10398.26,36.03,2.19,0.0
569,5918.65,2326.03,8.03,78.28,10328.61,35.76,2.19,0.0
570,5806.6,2561.93,8.93,69.03,12193.94,64.76,2.34,0.0
572,5920.03,2495.99,8.03,78.24,10342.33,35.92,2.19,0.0
573,5921.18,2314.61,8.03,78.77,10408.97,36.85,2.2,0.0
574,6124.48,2674.48,9.34,70.3,14850.03,74.79,2.61,0.0
575,5917.99,2293.84,8.03,78.51,10366.67,35.73,2.18,0.0
576,5815.0,2545.44,8.93,69.09,12086.98,65.27,2.32,0.0
577,5931.79,2706.97,8.52,77.18,10321.24,72.53,2.05,0.0
578,5883.89,2622.0,8.93,70.31,12575.01,75.0,2.39,0.0
579,5980.39,3267.74,9.33,74.53,13393.05,72.78,2.41,0.0
580,5800.3,2370.14,8.95,68.07,12133.23,65.48,2.34,0.0
581,6255.0,3440.79,8.94,75.29,12664.38,82.34,2.28,0.0
582,5922.73,2276.05,8.03,77.29,10378.26,36.93,2.17,0.0
584,5809.45,2529.5,8.93,69.23,12069.59,65.4,2.34,0.0
585,5808.94,2557.26,8.93,68.59,12060.33,65.59,2.33,0.0
586,5801.91,2572.14,8.93,68.99,12089.48,64.37,2.35,0.0
587,5922.95,2270.24,8.03,76.53,10385.19,36.1,2.18,0.0
588,5809.16,2542.74,8.93,68.73,12199.34,66.26,2.35,0.0
589,5982.09,3291.55,9.33,74.53,13496.58,72.94,2.42,0.0
590,5920.03,2273.42,8.03,76.59,10351.07,35.72,2.17,0.0
591,5927.64,2258.38,8.03,76.13,10405.88,36.98,2.17,0.0
592,5923.15,2311.99,8.03,76.58,10358.61,36.45,2.17,0.0
593,5911.0,2148.91,8.03,72.58,9231.81,59.62,1.92,1.0
594,6331.48,3860.16,8.63,76.06,12419.66,43.12,2.28,0.0
595,5954.58,2323.06,8.32,78.59,10980.79,42.02,2.22,0.0
596,5800.21,2474.01,8.95,67.27,12126.46,64.66,2.34,0.0
597,6107.45,2734.63,9.33,70.1,14780.93,74.12,2.6,0.0
598,5925.0,2291.18,8.03,78.14,10363.62,36.75,2.17,0.0
600,5805.17,2554.04,8.93,69.19,12168.69,64.79,2.34,0.0
601,5923.39,2317.63,8.03,78.03,10340.45,37.04,2.17,0.0
602,5918.5,2245.49,8.03,77.52,10362.15,35.92,2.19,0.0
603,5997.0,2540.61,8.03,76.43,9697.47,72.87,2.02,0.0
604,5955.53,2304.28,8.32,77.67,11062.37,41.85,2.24,0.0
605,5801.24,2558.16,8.93,69.06,12082.1,64.37,2.34,0.0
606,6255.0,3427.31,8.94,76.21,12717.79,81.97,2.28,0.0
607,5917.76,2241.67,8.03,78.46,10413.61,35.74,2.19,0.0
608,5883.81,2594.02,8.93,70.41,12595.64,75.0,2.4,0.0
609,6335.27,3683.48,8.63,75.9,12373.3,43.09,2.26,0.0
610,5809.97,2559.85,8.93,68.62,12074.8,65.36,2.33,0.0
611,6255.87,3438.52,8.93,75.83,12797.84,81.3,2.28,0.0
613,5812.16,2540.09,8.93,68.78,12112.78,65.89,2.33,0.0
614,6257.12,3546.0,8.94,75.75,12606.4,82.19,2.25,0.0
615,6271.44,3473.03,8.94,75.56,13018.27,81.29,2.33,0.0
616,5945.62,2485.68,8.03,78.28,10480.5,37.3,2.19,0.0
617,5810.48,2548.69,8.93,69.2,12079.89,64.94,2.33,0.0
618,5811.51,2564.96,8.93,68.53,12053.22,65.61,2.32,0.0
619,6255.84,3544.16,8.94,76.02,12591.03,82.15,2.26,0.0
620,6323.39,3903.43,8.64,75.97,12412.66,43.44,2.29,0.0
622,6007.48,3105.03,9.33,73.51,13686.21,77.17,2.44,0.0
623,5807.9,2552.77,8.93,69.03,12149.85,65.9,2.35,0.0
624,5801.09,2431.68,8.99,67.71,12185.09,65.66,2.35,0.0
625,5815.0,2561.37,8.93,69.11,12135.32,65.84,2.33,0.0
626,6148.33,2693.36,9.33,70.22,15029.46,75.08,2.62,0.0
627,5958.59,2323.28,8.33,78.17,11069.97,41.73,2.22,0.0
628,5800.9,2562.67,8.93,69.15,12077.94,64.16,2.33,0.0
630,5925.25,2307.81,8.03,76.62,10384.11,37.45,2.19,0.0
631,5883.98,2599.21,8.93,70.46,12563.31,75.4,2.39,0.0
632,6255.0,3458.92,8.93,75.98,12696.2,81.5,2.28,0.0
633,5922.28,2317.06,8.03,78.79,10356.44,36.73,2.19,0.0
634,5801.88,2410.58,9.02,67.66,12207.4,65.86,2.33,0.0
635,5803.54,2547.98,8.93,69.09,12167.48,64.51,2.35,0.0
636,6301.15,3966.28,8.63,76.83,12343.22,43.51,2.26,0.0
637,5992.13,3281.11,9.33,74.64,13620.13,74.9,2.43,0.0
638,5918.5,2217.18,8.03,78.74,10399.5,35.48,2.2,0.0
639,5798.25,0.83,6.02,0.07,5561.94,58.55,1.6,1.0
641,5808.42,2560.12,8.93,69.06,12051.33,65.48,2.34,0.0
642,6257.58,3476.89,8.94,75.72,12781.0,81.15,2.27,0.0
643,6008.74,3100.33,9.33,73.46,13656.96,77.03,2.44,0.0
644,5919.0,2265.53,8.03,76.24,10392.11,34.95,2.18,0.0
645,5811.0,2539.01,8.93,69.05,12061.07,65.37,2.32,0.0
646,6275.0,3223.08,8.93,74.83,11258.15,67.18,2.0,0.0
647,6163.26,2690.27,9.33,70.21,15093.33,75.92,2.63,0.0
648,5899.5,2344.95,8.03,74.38,9448.75,58.9,2.0,1.0
649,5945.43,2311.66,8.26,77.25,10925.08,40.96,2.2,0.0
650,5647.5,1208.7,5.02,0.04,5405.67,57.64,1.92,0.0
652,6255.0,3446.95,8.93,75.12,12739.64,82.31,2.27,0.0
660,5693.96,0.11,0.3,1.37,319.59,40.25,1.75,0.0
667,6327.15,3877.13,8.64,76.02,12454.58,43.16,2.29,0.0
671,6151.5,2685.22,9.33,70.44,15053.0,75.66,2.62,0.0
673,5621.5,1842.86,5.02,61.58,5323.94,57.74,1.9,0.0
677,5932.38,2459.68,8.03,74.11,10334.39,36.85,2.18,0.0
680,5983.8,3283.63,9.33,74.54,13486.76,73.57,2.41,0.0
683,5919.92,2244.88,8.03,78.54,10413.87,35.83,2.2,0.0
686,5950.65,2495.19,8.03,78.06,10463.45,37.43,2.18,0.0
689,5749.23,0.12,0.31,3.64,302.63,47.16,1.74,0.0
690,5744.78,0.12,0.3,13.42,283.07,47.09,1.67,0.0
691,5738.83,0.13,0.3,14.83,288.29,46.79,1.63,0.0
692,5732.88,0.13,0.31,11.64,286.35,46.77,1.64,0.0
693,5959.14,2295.24,8.33,78.45,11079.39,41.85,2.23,0.0
694,5731.73,0.13,0.01,7.88,0.07,46.93,1.59,0.0
695,5661.0,0.13,0.03,0.08,13.26,47.15,0.0,0.0
698,6258.24,3545.87,8.94,75.73,12568.21,82.94,2.25,0.0
699,5807.13,2539.9,8.93,68.98,12189.17,65.16,2.35,0.0
706,6157.01,2679.09,9.33,70.09,15107.23,76.16,2.63,0.0
707,6275.0,3218.92,8.92,74.82,11160.8,66.78,1.99,0.0
711,5891.95,2992.95,8.52,78.04,10374.54,72.61,2.05,0.0
712,5887.79,2631.4,8.93,70.64,12551.88,76.82,2.38,0.0
719,5715.46,0.14,5.02,0.03,5349.57,44.64,1.71,0.0
720,5722.15,6.47,7.02,0.02,8105.72,44.32,2.08,0.0
721,5995.6,3175.56,9.33,74.55,13614.25,75.37,2.45,0.0
722,5710.7,64.75,7.03,0.49,8236.06,44.23,2.04,0.0
723,5948.42,2474.0,8.03,75.95,10458.8,37.67,2.19,0.0
724,5687.3,1363.56,8.02,0.08,9374.46,45.07,2.08,0.0
725,5956.53,2293.76,8.33,76.09,10980.53,42.01,2.22,0.0
727,6278.0,3200.47,8.92,74.52,11176.55,67.01,1.99,0.0
728,6296.15,4062.64,8.64,76.89,12268.59,43.34,2.27,0.0
729,5978.92,3268.73,9.33,74.66,13420.94,72.76,2.41,0.0
732,6280.06,3195.43,8.92,75.08,11145.34,67.03,2.0,0.0
733,5959.7,2307.93,8.33,78.22,11065.48,41.84,2.23,0.0
734,6004.91,3086.81,9.33,73.46,13670.22,76.55,2.44,0.0
736,6116.0,2732.22,9.33,70.03,14842.05,74.77,2.61,0.0
737,6001.32,3090.38,9.33,73.34,13653.95,76.37,2.44,0.0
738,5989.5,3344.64,9.33,74.82,13527.38,74.29,2.44,0.0
739,6139.81,2686.26,9.33,69.82,14928.53,74.24,2.61,0.0
740,6279.02,3177.3,8.93,75.06,11186.19,67.09,2.01,0.0
741,6154.0,2682.63,9.33,69.63,15062.99,76.16,2.63,0.0
743,5848.93,0.83,6.02,0.09,5606.85,58.42,1.59,1.0
745,5945.84,2286.67,8.29,78.44,10863.9,40.55,2.21,0.0
746,6126.63,2706.61,9.33,70.12,14949.69,74.51,2.6,0.0
748,6257.84,3544.52,8.94,75.57,12597.01,82.63,2.25,0.0
749,6235.08,3599.63,8.93,75.58,12517.55,83.02,2.25,0.0
750,5924.5,2305.49,8.03,76.51,10367.41,37.46,2.18,0.0
752,6266.3,3467.98,8.94,75.92,12955.39,81.22,2.31,0.0
753,6255.0,3457.78,8.93,75.17,12725.26,82.18,2.28,0.0
755,6258.04,3539.26,8.94,75.75,12581.27,82.77,2.27,0.0
756,5883.73,2550.41,8.93,70.47,12580.62,74.38,2.39,0.0
759,5802.67,2433.42,9.05,67.52,12252.63,66.2,2.33,0.0
760,5888.52,2627.37,8.93,70.13,12568.83,77.19,2.39,0.0
761,5807.91,2563.28,8.93,68.87,12066.51,65.6,2.34,0.0
762,6266.0,3213.22,8.92,74.36,11123.54,64.72,1.98,0.0
765,6268.81,3453.65,8.94,75.66,13009.28,81.37,2.32,0.0
766,5954.3,2293.84,8.29,76.41,11054.99,41.9,2.23,0.0
768,6260.5,3209.96,8.92,74.12,11176.8,64.76,2.0,0.0
770,6034.49,3002.48,8.93,75.82,11316.52,56.77,2.11,0.0
771,6255.0,3218.01,8.92,74.17,11146.7,64.35,1.99,0.0
772,5919.48,2256.12,8.03,76.21,10380.79,35.18,2.19,0.0
773,6268.27,3312.47,8.93,75.01,11207.3,67.13,2.01,0.0
774,6050.84,3298.42,8.83,76.53,10547.09,80.18,1.97,0.0
775,5800.56,2533.1,8.93,68.27,12077.2,64.48,2.34,0.0
776,6131.5,2701.43,9.33,69.85,14890.07,74.39,2.61,0.0
777,6109.52,2747.91,9.33,70.2,14795.52,74.61,2.6,0.0
778,6165.77,2737.52,9.33,70.02,15183.58,75.94,2.63,0.0
779,5654.79,1910.14,8.51,69.19,10121.71,47.26,2.09,0.0
780,6195.74,2718.35,9.33,70.25,15458.36,74.9,2.67,0.0
781,5987.24,3328.75,9.33,74.51,13561.83,73.91,2.43,0.0
783,6006.89,3090.81,9.33,73.48,13691.36,77.07,2.44,0.0
784,6134.5,2689.02,9.33,70.0,14943.57,74.22,2.61,0.0
786,5887.94,0.83,6.03,0.09,5639.21,58.43,1.68,1.0
787,6237.71,3596.01,8.93,75.81,12530.13,82.81,2.25,0.0
788,6142.88,2723.62,9.33,69.99,14985.09,74.62,2.61,0.0
789,5960.26,2309.28,8.33,77.88,11125.34,41.61,2.24,0.0
790,5965.5,0.83,8.69,0.07,9521.32,58.82,1.86,1.0
791,5910.72,0.83,7.03,0.09,6995.84,58.54,1.68,1.0
792,6258.44,3576.09,8.93,75.58,12595.39,83.06,2.26,0.0
794,6269.91,3212.8,8.92,74.29,11165.56,65.22,1.99,0.0
795,6190.5,2688.78,9.33,70.07,15336.49,75.74,2.66,0.0
796,5807.7,2566.48,8.93,68.87,12081.46,65.84,2.33,0.0
797,5807.61,2554.68,8.93,68.76,12081.64,65.44,2.33,0.0
799,6035.29,2995.3,8.93,76.25,11320.64,56.82,2.1,0.0
801,5816.71,2388.34,9.15,67.17,12444.65,66.73,2.33,0.0
802,6006.31,3103.15,9.33,73.48,13629.0,76.9,2.44,0.0
803,6073.25,3347.02,8.94,77.86,11873.22,40.49,2.18,0.0
804,5889.24,2558.29,8.93,70.56,12595.19,78.01,2.4,0.0
805,5807.52,2562.66,8.93,68.9,12090.74,65.55,2.33,0.0
806,5702.5,0.18,5.02,0.03,5132.66,61.22,1.8,0.0
807,5810.0,2396.84,9.13,67.31,12416.97,65.91,2.34,0.0
808,6010.0,0.83,8.72,0.05,9826.26,58.88,1.89,1.0
809,6255.0,3458.08,8.94,75.79,12705.87,82.14,2.28,0.0
810,6310.5,3900.45,8.63,76.28,12309.85,43.76,2.26,0.0
812,5892.0,2505.76,8.03,75.14,9488.02,58.14,2.0,1.0
813,5972.78,3305.53,9.33,74.56,13305.35,71.85,2.4,0.0
814,6048.92,3318.95,8.83,76.58,10536.13,78.7,1.98,0.0
816,5917.7,2246.87,8.03,77.56,10413.15,35.52,2.19,0.0
817,6258.92,3548.4,8.93,75.98,12641.3,83.89,2.27,0.0
818,5807.79,2590.04,8.93,69.18,12080.39,65.32,2.33,0.0
820,5947.55,2345.19,8.29,78.36,10905.3,40.96,2.21,0.0
821,5682.0,55.34,5.02,0.02,5406.69,60.9,1.88,0.0
822,6113.07,3044.05,9.34,73.13,14738.21,79.26,2.59,0.0
823,6117.78,3014.32,9.33,73.0,14728.9,79.23,2.57,0.0
824,6051.0,3287.97,8.83,76.57,10521.71,79.87,1.96,0.0
825,6319.63,3890.98,8.63,76.11,12421.06,43.29,2.28,0.0
826,5949.61,2295.64,8.28,77.41,10868.38,41.25,2.2,0.0
827,6083.94,2996.05,8.93,75.96,11538.32,55.84,2.13,0.0
829,5646.96,2086.78,8.52,71.79,10192.02,49.2,2.11,0.0
830,5871.49,2943.97,8.52,78.9,10372.38,72.35,2.07,0.0
833,6339.0,3699.43,8.64,75.26,12433.04,43.55,2.27,0.0
834,6255.0,3564.44,8.94,75.86,12609.7,81.96,2.26,0.0
835,6072.95,2977.21,8.94,75.64,11463.29,56.46,2.1,0.0
836,5808.05,2552.86,8.93,69.04,12083.95,64.37,2.33,0.0
837,5998.0,3098.78,9.33,73.68,13689.94,76.17,2.44,0.0
838,5945.02,2331.81,8.26,75.53,10748.35,40.97,2.21,0.0
839,6255.0,3562.14,8.94,75.6,12695.0,82.07,2.26,0.0
840,6243.5,3239.33,8.92,74.3,11189.48,64.3,2.01,0.0
841,6048.38,3257.03,8.83,76.71,10509.91,80.47,1.96,0.0
842,6258.64,3540.78,8.93,75.69,12611.1,83.3,2.25,0.0
843,5807.88,2538.34,8.93,68.96,12080.62,64.67,2.33,0.0
844,6107.11,2716.03,9.33,70.26,14743.28,74.09,2.58,0.0
847,5951.39,2299.7,8.29,78.59,10956.65,41.28,2.22,0.0
848,6051.0,3314.49,8.84,76.57,10532.31,79.66,1.98,0.0
